"","R0","Trig","Dur","Scenario","variable","Total incidence","Maximum incidence","Mean time","Max time","Median time"
"1","2.4","100","91","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"2","2.4","100","91","CI","Mild",150820435,3510577.1,158.021714302177,159,158
"3","2.4","100","91","CI_HQ","Mild",135132840,2676787.3,165.882656991446,165,165
"4","2.4","100","91","CI_HQ_SD","Mild",155874653,2809863.3,226.245756303304,238,232
"5","2.4","100","91","CI_SD","Mild",150367028,2150865.6,209.979781265611,219,215
"6","2.4","100","91","CI_HQ_SDOL70","Mild",131986817,2568754.4,167.015645354187,166,166
"7","2.4","100","91","MG","Mild",162901553,4173027.9,152.372131587352,154,152
"8","2.4","100","91","PC","Mild",159028051,3753122.5,161.023188899548,159,160
"9","2.4","100","91","PC_CI_HQ_SDOL70","Mild",144151523,1494356.4,206.569452148626,212,207
"10","2.4","100","91","PC_CI_SD","Mild",164626255,4420620.2,249.943184466536,249,251
"11","2.4","100","91","PC_CI_HQ_SD","Mild",165686406,4077817.2,264.149207533659,264,265
"12","2.4","100","91","MG_PC_CI_HQ_SDOL70","Mild",149393898,1882239.3,218.679880445987,238,224
"13","2.4","100","121","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"14","2.4","100","121","CI","Mild",150765269,3510577.1,157.989036258079,159,158
"15","2.4","100","121","CI_HQ","Mild",134225362,2676787.3,165.23874534978,165,165
"16","2.4","100","121","CI_HQ_SD","Mild",150059589,1547808.9,248.887136492824,273,257
"17","2.4","100","121","CI_SD","Mild",139772637,1046772.5,226.941357931882,181,226
"18","2.4","100","121","CI_HQ_SDOL70","Mild",130734485,2568754.4,166.088726662288,166,166
"19","2.4","100","121","MG","Mild",162791955,4173027.9,152.332333053559,154,152
"20","2.4","100","121","PC","Mild",156849082,3753122.5,160.215218499015,159,160
"21","2.4","100","121","PC_CI_HQ_SDOL70","Mild",141120710,1206558.8,228.091613739755,187,210
"22","2.4","100","121","PC_CI_SD","Mild",168908106,4777149.5,289.19280411563,293,292
"23","2.4","100","121","PC_CI_HQ_SD","Mild",169518993,5110622.3,303.03169894656,305,305
"24","2.4","100","121","MG_PC_CI_HQ_SDOL70","Mild",147231826,973962.7,244.305450494107,301,244
"25","2.4","100","152","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"26","2.4","100","152","CI","Mild",150762640,3510577.1,157.986918655709,159,158
"27","2.4","100","152","CI_HQ","Mild",134126409,2676787.3,165.141426626131,165,165
"28","2.4","100","152","CI_HQ_SD","Mild",150570549,1645573.2,276.500176448849,322,302
"29","2.4","100","152","CI_SD","Mild",136161877,1046772.5,251.340531803186,181,224
"30","2.4","100","152","CI_HQ_SDOL70","Mild",130598323,2568754.4,165.948898712122,166,166
"31","2.4","100","152","MG","Mild",162788171,4173027.9,152.330289259777,154,152
"32","2.4","100","152","PC","Mild",156725079,3753122.5,160.145115846456,159,160
"33","2.4","100","152","PC_CI_HQ_SDOL70","Mild",142075132,1206558.8,244.053015998606,187,210
"34","2.4","100","152","PC_CI_SD","Mild",169224353,5110596.5,319.166221923744,322,322
"35","2.4","100","152","PC_CI_HQ_SD","Mild",169569750,4994768.7,335.038847164662,336,337
"36","2.4","100","152","MG_PC_CI_HQ_SDOL70","Mild",148071451,1156212.6,263.327270822111,335,258
"37","2.4","100","182","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"38","2.4","100","182","CI","Mild",150762606,3510577.1,157.986881561334,159,158
"39","2.4","100","182","CI_HQ","Mild",134115925,2676787.3,165.128310955615,165,165
"40","2.4","100","182","CI_HQ_SD","Mild",150515732,1625919,303.637365149312,366,346
"41","2.4","100","182","CI_SD","Mild",135394992.1,1046772.5,277.479797437796,181,223
"42","2.4","100","182","CI_HQ_SDOL70","Mild",130586158,2568754.4,165.933646872435,166,166
"43","2.4","100","182","MG","Mild",162788062,4173027.9,152.330203673043,154,152
"44","2.4","100","182","PC","Mild",156723208,3753122.5,160.143741767971,159,160
"45","2.4","100","182","PC_CI_HQ_SDOL70","Mild",141191355,1206558.8,255.040822191274,187,210
"46","2.4","100","182","PC_CI_SD","Mild",169174593,4963541.3,345.955891299233,349,350
"47","2.4","100","182","PC_CI_HQ_SD","Mild",169585651,4849065.4,364.316518910553,366,367
"48","2.4","100","182","MG_PC_CI_HQ_SDOL70","Mild",146658753,1019708.1,277.068262366175,369,255
"49","2.4","300","91","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"50","2.4","300","91","CI","Mild",150820435,3510577.1,158.021714302177,159,158
"51","2.4","300","91","CI_HQ","Mild",135132840,2676787.3,165.882656991446,165,165
"52","2.4","300","91","CI_HQ_SD","Mild",155255615,2727516.4,227.046874462479,241,236
"53","2.4","300","91","CI_SD","Mild",147978879,1693122.1,210.801713976357,233,217
"54","2.4","300","91","CI_HQ_SDOL70","Mild",131883529,2570271.8,166.762085624051,166,166
"55","2.4","300","91","MG","Mild",162798311,4137765.3,151.730028025291,153,152
"56","2.4","300","91","PC","Mild",157874009,3740873.3,158.193100471022,157,157
"57","2.4","300","91","PC_CI_HQ_SDOL70","Mild",143284273,1212633.9,206.455467645776,182,205
"58","2.4","300","91","PC_CI_SD","Mild",163719028,4167040.3,252.472219673818,254,255
"59","2.4","300","91","PC_CI_HQ_SD","Mild",166020561,3995688.5,267.290901585979,269,270
"60","2.4","300","91","MG_PC_CI_HQ_SDOL70","Mild",148060534,1713659.2,218.720379409141,242,226
"61","2.4","300","121","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"62","2.4","300","121","CI","Mild",150765269,3510577.1,157.989036258079,159,158
"63","2.4","300","121","CI_HQ","Mild",134225362,2676787.3,165.23874534978,165,165
"64","2.4","300","121","CI_HQ_SD","Mild",150873907,1562609.8,250.570245446749,283,265
"65","2.4","300","121","CI_SD","Mild",138938396,1102671,229.027114916456,181,220
"66","2.4","300","121","CI_HQ_SDOL70","Mild",130697133,2570271.8,165.871651473028,166,166
"67","2.4","300","121","MG","Mild",162754068,4137765.3,151.711685049863,153,152
"68","2.4","300","121","PC","Mild",156831190,3740873.3,157.726751120106,157,157
"69","2.4","300","121","PC_CI_HQ_SDOL70","Mild",142090000,1212633.9,229.287381145753,182,205
"70","2.4","300","121","PC_CI_SD","Mild",168410784,4829923.3,291.239806151606,297,297
"71","2.4","300","121","PC_CI_HQ_SD","Mild",169109377,5054400.5,305.608047243294,309,310
"72","2.4","300","121","MG_PC_CI_HQ_SDOL70","Mild",148072569,1074795.5,245.636247463904,309,244
"73","2.4","300","152","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"74","2.4","300","152","CI","Mild",150762640,3510577.1,157.986918655709,159,158
"75","2.4","300","152","CI_HQ","Mild",134126409,2676787.3,165.141426626131,165,165
"76","2.4","300","152","CI_HQ_SD","Mild",150279504,1614468.2,278.734732275933,332,311
"77","2.4","300","152","CI_SD","Mild",135912755,1102671,254.23045053792,181,218
"78","2.4","300","152","CI_HQ_SDOL70","Mild",130570482,2570271.8,165.741495669749,166,166
"79","2.4","300","152","MG","Mild",162752479,4137765.3,151.7107707619,153,152
"80","2.4","300","152","PC","Mild",156798431,3740873.3,157.706918339636,157,157
"81","2.4","300","152","PC_CI_HQ_SDOL70","Mild",141642703,1212633.9,242.138397298871,182,204
"82","2.4","300","152","PC_CI_SD","Mild",168468592,4942516.9,319.784539779379,326,326
"83","2.4","300","152","PC_CI_HQ_SD","Mild",169143095,4864781.1,336.923462477141,341,341
"84","2.4","300","152","MG_PC_CI_HQ_SDOL70","Mild",147474461,1092530.5,261.655041441379,342,247
"85","2.4","300","182","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"86","2.4","300","182","CI","Mild",150762606,3510577.1,157.986881561334,159,158
"87","2.4","300","182","CI_HQ","Mild",134115925,2676787.3,165.128310955615,165,165
"88","2.4","300","182","CI_HQ_SD","Mild",149841299,1566317.5,304.957645265075,376,354
"89","2.4","300","182","CI_SD","Mild",135281939,1102671,279.644632987556,181,217
"90","2.4","300","182","CI_HQ_SDOL70","Mild",130557988,2570271.8,165.724733219694,166,166
"91","2.4","300","182","MG","Mild",162752434,4137765.3,151.710735957411,153,152
"92","2.4","300","182","PC","Mild",156796469,3740873.3,157.704858095369,157,157
"93","2.4","300","182","PC_CI_HQ_SDOL70","Mild",140985902,1212633.9,254.75644535721,182,204
"94","2.4","300","182","PC_CI_SD","Mild",168431453,4783919.6,348.028263892612,356,356
"95","2.4","300","182","PC_CI_HQ_SD","Mild",169129105,4604428.6,367.900023094783,372,373
"96","2.4","300","182","MG_PC_CI_HQ_SDOL70","Mild",146533108,993113,276.991845249061,380,245
"97","2.4","1000","91","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"98","2.4","1000","91","CI","Mild",150820435,3510577.1,158.021714302177,159,158
"99","2.4","1000","91","CI_HQ","Mild",135132840,2676787.3,165.882656991446,165,165
"100","2.4","1000","91","CI_HQ_SD","Mild",153370036,2373197.1,227.383840647987,246,240
"101","2.4","1000","91","CI_SD","Mild",143945427,1282321.2,210.668462072783,242,214
"102","2.4","1000","91","CI_HQ_SDOL70","Mild",131847949,2567139.7,166.566998008441,166,166
"103","2.4","1000","91","MG","Mild",162823330,4108264.6,150.991575212225,152,151
"104","2.4","1000","91","PC","Mild",157566731,3762351.6,154.9182318157,154,154
"105","2.4","1000","91","PC_CI_HQ_SDOL70","Mild",141419341,1244195.3,205.983222058007,175,197
"106","2.4","1000","91","PC_CI_SD","Mild",162556905,3600755.4,254.26289611321,262,261
"107","2.4","1000","91","PC_CI_HQ_SD","Mild",165934672,3755197.1,268.821581809015,274,275
"108","2.4","1000","91","MG_PC_CI_HQ_SDOL70","Mild",145613433,1259516.7,218.503555345062,245,224
"109","2.4","1000","121","NoInt","Mild",169462422,4585488.3,149.12344997642,150,149
"110","2.4","1000","121","CI","Mild",150765269,3510577.1,157.989036258079,159,158
"111","2.4","1000","121","CI_HQ","Mild",134225362,2676787.3,165.23874534978,165,165
"112","2.4","1000","121","CI_HQ_SD","Mild",150460391,1562483.9,252.03018559549,295,273
