"","R0","Trig","Dur","Scenario","variable","Total incidence","Maximum incidence","Mean time","Max time","Median time"
"1","2.0",60,0.75,"NoInt","PropSocDist",0,0,NA,NA,0
"2","2.0",60,0.75,"CI_HQ_SD","PropSocDist",0.959454908491005,1,NA,NA,0.854309165094731
"3","2.0",60,0.75,"PC_CI_SD","PropSocDist",0.714098705346211,1,NA,NA,0.635841312979503
"4","2.0",60,0.75,"PC_CI_HQ_SD","PropSocDist",0.605785541138179,3,91,15,0.539398084575091
"5","2.0",60,0.5,"NoInt","PropSocDist",0,0,NA,NA,0
"6","2.0",60,0.5,"CI_HQ_SD","PropSocDist",0.959454908491005,1,NA,NA,0.854309165094731
"7","2.0",60,0.5,"PC_CI_SD","PropSocDist",0.714713248127765,1,NA,NA,0.636388508606914
"8","2.0",60,0.5,"PC_CI_HQ_SD","PropSocDist",0.610701883335502,2,100,19,0.54377564954531
"9","2.0",60,0.25,"NoInt","PropSocDist",0,0,NA,NA,0
"10","2.0",60,0.25,"CI_HQ_SD","PropSocDist",0.959454908491005,1,NA,NA,0.854309165094731
"11","2.0",60,0.25,"PC_CI_SD","PropSocDist",0.730844995958827,2,160,6,0.650752393661969
"12","2.0",60,0.25,"PC_CI_HQ_SD","PropSocDist",0.608090076520107,3,118,15,0.541450068134342
"13","2.0",100,0.75,"NoInt","PropSocDist",0,0,NA,NA,0
"14","2.0",100,0.75,"CI_HQ_SD","PropSocDist",0.945934967431097,1,NA,NA,0.84227086141125
"15","2.0",100,0.75,"PC_CI_SD","PropSocDist",0.691053351253715,3,100,11,0.615321477143719
"16","2.0",100,0.75,"PC_CI_HQ_SD","PropSocDist",0.586273807986062,6,79,19,0.522024623549233
"17","2.0",100,0.5,"NoInt","PropSocDist",0,0,NA,NA,0
"18","2.0",100,0.5,"CI_HQ_SD","PropSocDist",0.954077659204412,1,NA,NA,0.849521203401189
"19","2.0",100,0.5,"PC_CI_SD","PropSocDist",0.69934967871,4,110,19,0.622708618029452
"20","2.0",100,0.5,"PC_CI_HQ_SD","PropSocDist",0.597489213645414,7,88,24,0.532010943656875
"21","2.0",100,0.25,"NoInt","PropSocDist",0,0,NA,NA,0
"22","2.0",100,0.25,"CI_HQ_SD","PropSocDist",0.954077659204412,1,NA,NA,0.849521203401189
"23","2.0",100,0.25,"PC_CI_SD","PropSocDist",0.718246869056502,2,132,20,0.639534883406474
"24","2.0",100,0.25,"PC_CI_HQ_SD","PropSocDist",0.591804692964939,5,107,29,0.526949384146863
"25","2.0",200,0.75,"NoInt","PropSocDist",0,0,NA,NA,0
"26","2.0",200,0.75,"CI_HQ_SD","PropSocDist",0.91490055726145,1,NA,NA,0.814637482493072
"27","2.0",200,0.75,"PC_CI_SD","PropSocDist",0.652644427762081,4,89,11,0.581121750747059
"28","2.0",200,0.75,"PC_CI_HQ_SD","PropSocDist",0.557697568914688,5,68,25,0.496580027115819
"29","2.0",200,0.5,"NoInt","PropSocDist",0,0,NA,NA,0
"30","2.0",200,0.5,"CI_HQ_SD","PropSocDist",0.925808691526144,1,NA,NA,0.824350204783553
"31","2.0",200,0.5,"PC_CI_SD","PropSocDist",0.662323476470653,4,101,15,0.589740081788938
"32","2.0",200,0.5,"PC_CI_HQ_SD","PropSocDist",0.574751130938261,7,80,25,0.511764705629959
"33","2.0",200,0.25,"NoInt","PropSocDist",0,0,NA,NA,0
"34","2.0",200,0.25,"CI_HQ_SD","PropSocDist",0.947317688672517,1,NA,NA,0.843502051557721
"35","2.0",200,0.25,"PC_CI_SD","PropSocDist",0.673846153512245,4,122,18,0.599999999702683
"36","2.0",200,0.25,"PC_CI_HQ_SD","PropSocDist",0.582125644247829,6,90,35,0.518331053097382
"37","2.0",300,0.75,"NoInt","PropSocDist",0,0,NA,NA,0
"38","2.0",300,0.75,"CI_HQ_SD","PropSocDist",0.887860675131542,2,609,3,0.790560875117127
"39","2.0",300,0.75,"PC_CI_SD","PropSocDist",0.629291802274927,8,79,20,0.560328317094113
"40","2.0",300,0.75,"PC_CI_HQ_SD","PropSocDist",0.540797642586504,8,61,31,0.481532147508531
"41","2.0",300,0.5,"NoInt","PropSocDist",0,0,NA,NA,0
"42","2.0",300,0.5,"CI_HQ_SD","PropSocDist",0.900612437724599,2,564,8,0.801915184275328
